"FileName"	"Group"	"Weighting"	WeightingB
"Global/FW_birds_Afro_pops.txt"	1	0.192	0.211701
"Global/FW_birds_Near_pops.txt"	2	0.203	0.060853
"Global/FW_birds_Neo_pops.txt"	3	0.107	0.365550
"Global/FW_birds_Pale_pops.txt"	4	0.211	0.123314
"Global/FW_birds_Indo_pops.txt"	5	0.176	0.225576
"Global/FW_mamm_Afro_pops.txt"	1	0.009	0.211701
"Global/FW_mamm_Near_pops.txt"	2	0.013	0.060853
"Global/FW_mamm_Neo_pops.txt"	3	0.010	0.365550
"Global/FW_mamm_Pale_pops.txt"	4	0.015	0.123314
"Global/FW_mamm_Indo_pops.txt"	5	0.008	0.225576
"Global/FW_herp_Afro_pops.txt"	1	0.207	0.211701
"Global/FW_herp_Near_pops.txt"	2	0.217	0.060853
"Global/FW_herp_Neo_pops.txt"	3	0.298	0.365550
"Global/FW_herp_Pale_pops.txt"	4	0.179	0.123314
"Global/FW_herp_Indo_pops.txt"	5	0.321	0.225576
"Global/FW_fish_Afro_pops.txt"	1	0.590	0.211701
"Global/FW_fish_Near_pops.txt"	2	0.565	0.060853
"Global/FW_fish_Neo_pops.txt"	3	0.584	0.365550
"Global/FW_fish_Pale_pops.txt"	4	0.592	0.123314
"Global/FW_fish_Indo_pops.txt"	5	0.493	0.225576
