"FileName"	"Group"	"Weighting"	"WeightingB"
"Global/TR_birds_Afro_pops.txt"	1	0.387	0.063246
"Global/TR_birds_Near_pops.txt"	2	0.376	0.020561
"Global/TR_birds_Neo_pops.txt"	3	0.387	0.107044
"Global/TR_birds_Pale_pops.txt"	4	0.433	0.038810333333333
"Global/TR_birds_Indo_pops.txt"	5	0.396	0.097389333333333
"Global/TR_mamm_Afro_pops.txt"	1	0.197	0.063246
"Global/TR_mamm_Near_pops.txt"	2	0.249	0.020561
"Global/TR_mamm_Neo_pops.txt"	3	0.127	0.107044
"Global/TR_mamm_Pale_pops.txt"	4	0.249	0.038810333333333
"Global/TR_mamm_Indo_pops.txt"	5	0.172	0.097389333333333
"Global/TR_herp_Afro_pops.txt"	1	0.414	0.063246
"Global/TR_herp_Near_pops.txt"	2	0.373	0.020561
"Global/TR_herp_Neo_pops.txt"	3	0.484	0.107044
"Global/TR_herp_Pale_pops.txt"	4	0.316	0.038810333333333
"Global/TR_herp_Indo_pops.txt"	5	0.431	0.097389333333333
"Global/FW_birds_Afro_pops.txt"	6	0.192	0.05292525
"Global/FW_birds_Near_pops.txt"	7	0.203	0.01521325
"Global/FW_birds_Neo_pops.txt"	8	0.107	0.0913875
"Global/FW_birds_Pale_pops.txt"	9	0.211	0.0308285
"Global/FW_birds_Indo_pops.txt"	10	0.176	0.056394
"Global/FW_mamm_Afro_pops.txt"	6	0.009	0.05292525
"Global/FW_mamm_Near_pops.txt"	7	0.013	0.01521325
"Global/FW_mamm_Neo_pops.txt"	8	0.01	0.0913875
"Global/FW_mamm_Pale_pops.txt"	9	0.015	0.0308285
"Global/FW_mamm_Indo_pops.txt"	10	0.008	0.056394
"Global/FW_herp_Afro_pops.txt"	6	0.207	0.05292525
"Global/FW_herp_Near_pops.txt"	7	0.217	0.01521325
"Global/FW_herp_Neo_pops.txt"	8	0.298	0.0913875
"Global/FW_herp_Pale_pops.txt"	9	0.179	0.0308285
"Global/FW_herp_Indo_pops.txt"	10	0.321	0.056394
"Global/FW_fish_Afro_pops.txt"	6	0.59	0.05292525
"Global/FW_fish_Near_pops.txt"	7	0.565	0.01521325
"Global/FW_fish_Neo_pops.txt"	8	0.584	0.0913875
"Global/FW_fish_Pale_pops.txt"	9	0.592	0.0308285
"Global/FW_fish_Indo_pops.txt"	10	0.493	0.056394
"Global/M_birds_Arctic_pops.txt"	11	0.172867	0.00363525
"Global/M_birds_ATemp_pops.txt"	12	0.068635	0.03662225
"Global/M_birds_ATrop_pops.txt"	13	0.069353	0.0536765
"Global/M_birds_PTemp_pops.txt"	14	0.080916	0.0170065
"Global/M_birds_STemp_pops.txt"	15	0.054261	0.11413825
"Global/M_birds_Indo_pops.txt"	16	0.048714	0.02492125
"Global/M_mamm_Arctic_pops.txt"	11	0.035011	0.00363525
"Global/M_mamm_ATemp_pops.txt"	12	0.009774	0.03662225
"Global/M_mamm_ATrop_pops.txt"	13	0.006224	0.0536765
"Global/M_mamm_PTemp_pops.txt"	14	0.025257	0.0170065
"Global/M_mamm_STemp_pops.txt"	15	0.022342	0.02492125
"Global/M_mamm_Indo_pops.txt"	16	0.004878	0.11413825
"Global/M_rep_ATemp_pops.txt"	12	0.001303	0.03662225
"Global/M_rep_ATrop_pops.txt"	13	0.00163	0.0536765
"Global/M_rep_PTemp_pops.txt"	14	0.000935	0.0170065
"Global/M_rep_Indo_pops.txt"	16	0.005505	0.11413825
"Global/M_fish_Arctic_pops.txt"	11	0.792123	0.00363525
"Global/M_fish_ATemp_pops.txt"	12	0.920286	0.03662225
"Global/M_fish_ATrop_pops.txt"	13	0.922791	0.0536765
"Global/M_fish_PTemp_pops.txt"	14	0.89289	0.0170065
"Global/M_fish_STemp_pops.txt"	15	0.922438	0.02492125
"Global/M_fish_Indo_pops.txt"	16	0.940901	0.11413825

