"FileName"	"Group"	"Weighting"	"WeightingB"
"Global/M_birds_Arctic_pops.txt"	1	0.172867	0.014541
"Global/M_birds_ATemp_pops.txt"	2	0.068635	0.146489
"Global/M_birds_ATrop_pops.txt"	3	0.069353	0.214706
"Global/M_birds_PTemp_pops.txt"	4	0.080916	0.068026
"Global/M_birds_STemp_pops.txt"	5	0.054261	0.456553
"Global/M_birds_Indo_pops.txt"	6	0.048714	0.099685
"Global/M_mamm_Arctic_pops.txt"	1	0.035011	0.014541
"Global/M_mamm_ATemp_pops.txt"	2	0.009774	0.146489
"Global/M_mamm_ATrop_pops.txt"	3	0.006224	0.214706
"Global/M_mamm_PTemp_pops.txt"	4	0.025257	0.068026
"Global/M_mamm_STemp_pops.txt"	5	0.022342	0.099685
"Global/M_mamm_Indo_pops.txt"	6	0.004878	0.456553
"Global/M_rep_ATemp_pops.txt"	2	0.001303	0.146489
"Global/M_rep_ATrop_pops.txt"	3	0.001630	0.214706
"Global/M_rep_PTemp_pops.txt"	4	0.000935	0.068026
"Global/M_rep_Indo_pops.txt"	6	0.005505	0.456553
"Global/M_fish_Arctic_pops.txt"	1	0.792123	0.014541
"Global/M_fish_ATemp_pops.txt"	2	0.920286	0.146489
"Global/M_fish_ATrop_pops.txt"	3	0.922791	0.214706
"Global/M_fish_PTemp_pops.txt"	4	0.892890	0.068026
"Global/M_fish_STemp_pops.txt"	5	0.922438	0.099685
"Global/M_fish_Indo_pops.txt"	6	0.940901	0.456553

