"FileName"	"Group"	"Weighting"	WeightingB
"Global/TR_birds_Afro_pops.txt"	1	0.387	0.189738
"Global/TR_birds_Near_pops.txt"	2	0.376	0.061683
"Global/TR_birds_Neo_pops.txt"	3	0.387	0.321132
"Global/TR_birds_Pale_pops.txt"	4	0.433	0.116431
"Global/TR_birds_Indo_pops.txt"	5	0.396	0.292168
"Global/TR_mamm_Afro_pops.txt"	1	0.197	0.189738
"Global/TR_mamm_Near_pops.txt"	2	0.249	0.061683
"Global/TR_mamm_Neo_pops.txt"	3	0.127	0.321132
"Global/TR_mamm_Pale_pops.txt"	4	0.249	0.116431
"Global/TR_mamm_Indo_pops.txt"	5	0.172	0.292168
"Global/TR_herp_Afro_pops.txt"	1	0.414	0.189738
"Global/TR_herp_Near_pops.txt"	2	0.373	0.061683
"Global/TR_herp_Neo_pops.txt"	3	0.484	0.321132
"Global/TR_herp_Pale_pops.txt"	4	0.316	0.116431
"Global/TR_herp_Indo_pops.txt"	5	0.431	0.292168
